"Rendimiento","Fertilizacion","Precipitacion","pH_suelo"
4682.6765021361,"B",749.07,7
3903.15627908985,"A",746.41,8
4874.13105104403,"B",815.18,8
4552.52500112743,"A",822.41,7
5281.70122391564,"B",802.65,6
4567.90039325793,"A",846.11,7
5371.25027458282,"B",902.5,7
4511.61690540191,"A",775.45,7
4467.7417884961,"B",684.54,7
4443.71988872448,"A",850.29,7
4951.95484328619,"B",764.54,6
4258.19587600146,"A",765.6,7
5094.64805045093,"B",851.28,7
4521.39049773193,"A",785.76,7
4653.74561074947,"B",738.96,7
4469.04546558049,"A",809.07,7
4852.94159351045,"B",793.06,7
4603.0600708525,"A",800.29,6
4998.81576635063,"B",819.26,7
4467.9664696037,"A",781.47,7
5024.90183774908,"B",832.22,7
4432.71423200311,"A",788.98,7
5035.95100297835,"B",816.59,7
4683.41732708556,"A",854.84,7
4718.72054478156,"B",821.76,8
4505.63812141947,"A",783.7,7
5062.9443260706,"B",857.44,7
4563.30158323502,"A",849.68,7
5136.37502677142,"B",827.42,7
4571.19839061456,"A",811.94,7
4681.10081275888,"B",768.6,7
4350.79789995825,"A",868.03,8
4659.15709406294,"B",769.99,7
4600.97971926198,"A",909.37,8
5384.68908679185,"B",876.63,6
4395.14646873551,"A",788.21,7
4775.59577142185,"B",748.68,7
4415.4907154015,"A",764.48,6
5045.57014089013,"B",812.84,6
4659.52350560749,"A",787.67,6
5114.27613026063,"B",782.62,6
4082.55334626713,"A",752.42,7
4882.61025491507,"B",797.75,7
4373.03021772435,"A",760.75,6
4401.0248929458,"B",716.6,7
4348.47701311881,"A",780.99,7
4852.90382907414,"B",845.95,8
4289.56807324869,"A",771.23,7
5028.01525418012,"B",830.4,7
4405.13151643966,"A",719.11,6
5110.82975044834,"B",797.22,6
4429.25141571265,"A",825.97,7
4879.23007480787,"B",815.06,7
4405.29972069588,"A",805.28,7
5018.8616986579,"B",767.96,6
3947.3169647298,"A",757.51,8
4702.33411311576,"B",748.79,7
4517.30672601679,"A",805.88,7
4723.37699087655,"B",752.63,7
4444.30293324056,"A",775.47,6
4827.60548315745,"B",787.2,7
4834.1298545362,"A",892.19,7
4840.90439612141,"B",767.4,7
4564.86258000816,"A",811.77,7
4927.55978571618,"B",803.9,7
4272.71250964904,"A",751.91,7
4831.65930876519,"B",796.43,7
4713.34206689303,"A",872.23,7
5128.39664578108,"B",822.58,6
4465.15344953043,"A",802.06,6
4638.87929656841,"B",778.88,8
4235.27512177314,"A",697.34,7
5378.08643395731,"B",856.57,6
4460.92033899463,"A",726.97,6
5065.38557230932,"B",837,7
4673.25428216838,"A",895.46,7
4627.11091448897,"B",727.81,7
4495.49018931881,"A",835.09,7
4807.24502202179,"B",786.89,7
3995.28172839297,"A",721.39,8
4515.20864976346,"B",724.27,7
4206.35661321128,"A",719.92,7
5093.49024862259,"B",773.45,6
4024.32276409312,"A",726.91,7
5084.34919979005,"B",834.4,7
5210.55766523445,"A",905.01,6
4619.05345180584,"B",735.65,7
4622.35542414081,"A",839.39,7
5156.35481543806,"B",838.45,6
4569.20614182028,"A",816.61,7
4748.51247199266,"B",749.58,7
4744.29653916232,"A",794.03,6
4705.03292714631,"B",785.98,7
4493.39521138746,"A",828.15,7
4782.13748238744,"B",781.38,7
4751.24851309237,"A",848.85,6
4571.4871257314,"B",781.27,8
4500.8556419465,"A",852.64,7
4774.26223746164,"B",747.54,7
4070.70692859231,"A",736.99,7
5615.57809315563,"B",962.05,7
4208.43934146862,"A",779.16,7
4962.29291513953,"B",814.91,7
4564.70392868265,"A",831.83,7
5074.00853390926,"B",775.81,6
4460.26533361336,"A",825.84,7
4972.52519953284,"B",818.45,7
4258.43141518097,"A",789.23,8
4965.76340829236,"B",803.26,6
4315.87602884679,"A",798.3,7
5304.51023143166,"B",906.42,7
4225.7768021663,"A",762.93,7
4845.2003993971,"B",745.2,7
4673.94038633548,"A",801.89,6
4961.53667524148,"B",815.52,7
4325.62926824633,"A",821.83,7
5022.39002253263,"B",777.08,6
4182.2634131803,"A",746.83,7
5110.82534864794,"B",863.16,7
4220.66407729443,"A",782.52,7
4998.38580438299,"B",756.72,6
4254.7693559693,"A",788.19,7
4842.86780185576,"B",790.14,7
4632.39258294514,"A",855.5,7
5036.4884210987,"B",804.24,6
4590.24914056801,"A",837.7,7
4680.98895983483,"B",775.04,7
4356.54253210395,"A",810.72,6
5089.69179907859,"B",783.77,6
4500.6089826961,"A",804.73,7
4914.72045764086,"B",755.23,6
4221.02262545916,"A",734.46,7
4933.91834749163,"B",899.86,8
4692.42513931743,"A",830.04,6
4486.88816239594,"B",737.44,7
4611.15808914385,"A",769.44,6
4878.54608615432,"B",740.73,7
